id,equipment_type,equipment_name,maker,type_of_maintenance,frequency,parts_required
317,Refregerator,LTNC11121V,LG,Clean exterior handles,Weekly,Disinfectant wipe
318,Refregerator,RF23M8090SG,Samsung,Inspect defrost drain heater,Annually,Multimeter
319,Refregerator,WRT518SZFM,Whirlpool,Clean ice maker tray,Monthly,Mild detergent
320,Refregerator,GDE21EGKBB,GE,Check temperature control board,Bi-annually,None
321,Refregerator,FFRU17B2QW,Frigidaire,Inspect condenser fan motor,Annually,None
322,Refregerator,KRSF705HPS,KitchenAid,Clean water dispenser drip tray,Weekly,Mild soap solution
323,Refregerator,MFF2558FEZ,Maytag,Check door closure,Quarterly,None
324,Refregerator,B36CL80ENB,Bosch,Inspect main control board,Annually,None
325,Refregerator,FGRU19F6QF,Frigidaire,Clean ice maker water inlet tube,Bi-annually,Pipe cleaner
326,Refregerator,LTCS24223S,LG,Check freezer defrost cycle,Quarterly,None
327,Refregerator,RF28T5001SG,Samsung,Inspect ice maker ejector arm,Monthly,None
328,Refregerator,WRS325SDHB,Whirlpool,Clean refrigerator shelves,Weekly,Mild detergent
329,Refregerator,GTS22KYNRFS,GE,Check door stop,Bi-annually,None
330,Refregerator,FFSS2615TS,Frigidaire,Inspect compressor relay,Annually,Multimeter
331,Refregerator,KRFC704FSS,KitchenAid,Clean ice crusher chute,Monthly,Sanitizing wipe
332,Refregerator,MFI2269DRZ,Maytag,Check defrost drain,Quarterly,Pipe cleaner
333,Refregerator,B36CD50SNB,Bosch,Inspect fan blade,Bi-annually,None
334,Refregerator,FGHB2868TF,Frigidaire,Clean water filter bypass plug,Quarterly,Soft brush
335,Refregerator,LRFNS2503S,LG,Check ice maker fill cup,Monthly,None
336,Refregerator,RF28R7351SR,Samsung,Inspect auger motor,Annually,None
337,Refregerator,WRT311FZDW,Whirlpool,Clean freezer shelves,Monthly,Mild detergent
338,Refregerator,GDE21EGKWW,GE,Check door cam,Quarterly,None
339,Refregerator,FFHT1425VV,Frigidaire,Inspect temperature sensor,Bi-annually,Multimeter
340,Refregerator,KBSN608ESS,KitchenAid,Clean air filter housing,Monthly,Soft brush
341,Refregerator,MRT118FFFH,Maytag,Check defrost heater,Annually,Multimeter
342,Refregerator,B36CL81ENG,Bosch,Inspect water dispenser valve,Bi-annually,None
343,Refregerator,FGSC2335TF,Frigidaire,Clean ice maker ejector blades,Quarterly,Soft cloth
344,Refregerator,LRFXC2416S,LG,Check compressor start relay,Annually,Multimeter
345,Refregerator,RF23A9771SR,Samsung,Clean door bins,Weekly,Mild detergent
346,Refregerator,WRF535SWHZ,Whirlpool,Inspect ice level control board,Bi-annually,None
347,Refregerator,GNE25JSKSS,GE,Clean water tank,Monthly,Vinegar solution
348,Refregerator,FFSS2615TD,Frigidaire,Check freezer door seal,Quarterly,None
349,Refregerator,KRFC300EBS,KitchenAid,Inspect icemaker thermostat,Annually,Multimeter
350,Refregerator,MFI2269FRZ,Maytag,Clean condenser fan blade,Bi-annually,Soft cloth
351,Refregerator,B36CT81SNS,Bosch,Check defrost limit switch,Annually,Multimeter
